	^g	0.027641
	^m	0.058957
	^w	0.087536
	^d	0.037709
	^e	0.051304
	^l	0.027760
	^c	0.080674
	^o	0.021983
	^n	0.035862
	^b	0.030664
	^s	0.089435
	^p	0.056699
	^f	0.027609
	^a	0.095934
	^u	0.021768
	^t	0.035694
	^v	0.020389
	^i	0.043609
	^y	0.003479
	^r	0.062824
	^x	0.003947
	^j	0.007782
	^h	0.019938
	^2	0.003612
	^3	0.002585
	^q	0.004172
	^1	0.009632
	^z	0.007446
	^k	0.009637
	^0	0.001516
	^6	0.002028
	^4	0.002376
	^8	0.001859
	^7	0.001418
	^9	0.002073
	^5	0.002446
	^-	0.000003
^g	go	0.154589
^g	g.	0.010094
^g	gr	0.123114
^g	ga	0.116928
^g	gv	0.004558
^g	gs	0.045910
^g	gc	0.026844
^g	gg	0.004812
^g	gu	0.035346
^g	gd	0.013892
^g	ge	0.115806
^g	gm	0.017112
^g	gl	0.072465
^g	gi	0.058789
^g	gz	0.002750
^g	g0	0.005463
^g	gt	0.032669
^g	g2	0.012879
^g	gy	0.003184
^g	gp	0.016678
^g	gn	0.006476
^g	gh	0.007814
^g	gw	0.021960
^g	gf	0.012192
^g	gb	0.018125
^g	g-	0.006006
^g	gq	0.003437
^g	g1	0.012988
^g	gk	0.004233
^g	g4	0.004631
^g	gj	0.002207
^g	gx	0.003437
^g	g8	0.003147
^g	g9	0.002424
^g	g6	0.003799
^g	g5	0.003835
^g	g3	0.006367
^g	g7	0.003039
go	oo	0.428065
go	o.	0.068698
go	o-	0.008538
go	od	0.014914
go	on	0.012777
go	ov	0.163334
go	os	0.014854
go	oc	0.191409
go	ou	0.007481
go	og	0.004011
go	ol	0.026046
go	o1	0.000648
go	or	0.008081
go	op	0.005368
go	ob	0.008958
go	ot	0.010219
go	om	0.003711
go	oa	0.004743
go	o2	0.002306
go	oe	0.002053
go	oh	0.001609
go	o6	0.000084
go	of	0.002858
go	oi	0.002354
go	oj	0.000456
go	o4	0.000228
go	oq	0.000252
go	oz	0.000336
go	o9	0.000024
go	o5	0.000144
go	ow	0.001237
go	ox	0.001933
go	oy	0.000372
go	ok	0.000516
go	o0	0.000072
go	o3	0.000300
go	o7	0.000793
go	o8	0.000084
go	o$	0.000132
oo	og	0.410629
oo	ok	0.100122
oo	o.	0.030317
oo	ot	0.031336
oo	op	0.020531
oo	ol	0.072458
oo	om	0.056583
oo	oc	0.003128
oo	od	0.043764
oo	or	0.013992
oo	ob	0.002381
oo	os	0.009288
oo	ov	0.002879
oo	oz	0.001208
oo	o-	0.001457
oo	ox	0.002701
oo	of	0.005355
oo	oo	0.003080
oo	on	0.012345
oo	oa	0.001220
oo	oh	0.170732
oo	oi	0.000723
oo	oj	0.000438
oo	oy	0.000391
oo	o0	0.000036
oo	o$	0.000190
oo	ow	0.000545
oo	o1	0.000640
oo	o8	0.000083
oo	oq	0.000415
oo	o3	0.000166
oo	oe	0.000142
oo	o5	0.000142
oo	ou	0.000355
oo	o7	0.000047
oo	o2	0.000130
oo	o9	0.000024
oo	o4	0.000012
oo	o6	0.000012
og	gl	0.617448
og	gi	0.113215
og	g$	0.006859
og	gs	0.020417
og	gg	0.010539
og	gr	0.022650
og	g.	0.058001
og	gh	0.003590
og	gf	0.002519
og	go	0.021578
og	gx	0.000161
og	g-	0.013469
og	gn	0.009967
og	g1	0.003501
og	gu	0.014969
og	gy	0.033993
og	ga	0.010968
og	g2	0.001893
og	gm	0.006127
og	gp	0.001697
og	gb	0.001304
og	ge	0.013272
og	gz	0.000464
og	gt	0.001572
og	gc	0.001715
og	g0	0.001340
og	gv	0.000322
og	g3	0.001179
og	gw	0.002108
og	gd	0.000911
og	g5	0.000589
og	gj	0.000357
og	gq	0.000089
og	g4	0.000464
og	g7	0.000143
og	gk	0.000214
og	g6	0.000107
og	g8	0.000125
og	g9	0.000161
gl	le	0.731516
gl	lo	0.170747
gl	l.	0.008181
gl	ls	0.002898
gl	lb	0.017060
gl	ly	0.002549
gl	la	0.027214
gl	ld	0.001007
gl	lp	0.000946
gl	li	0.013895
gl	ll	0.001706
gl	l$	0.000617
gl	lu	0.003494
gl	l-	0.001768
gl	lx	0.000206
gl	ln	0.000699
gl	lg	0.000822
gl	lc	0.000514
gl	l6	0.009763
gl	l2	0.000329
gl	lz	0.000432
gl	lt	0.000514
gl	lm	0.000452
gl	lj	0.000103
gl	lf	0.000391
gl	l1	0.000164
gl	lr	0.000267
gl	l5	0.000062
gl	l7	0.000308
gl	lv	0.000144
gl	lw	0.000144
gl	lh	0.000185
gl	l3	0.000185
gl	l4	0.000185
gl	lk	0.000041
gl	lq	0.000144
gl	l0	0.000247
gl	l9	0.000041
gl	l8	0.000062
le	e.	0.148750
le	ea	0.060409
le	ec	0.079674
le	eu	0.017822
le	e-	0.033784
le	en	0.023968
le	et	0.021046
le	es	0.200507
le	ev	0.200414
le	ed	0.008473
le	er	0.050062
le	em	0.050909
le	e$	0.000675
le	ex	0.014124
le	eo	0.005371
le	ei	0.006369
le	eh	0.002757
le	ew	0.003526
le	ep	0.007870
le	eg	0.023861
le	el	0.002973
le	ez	0.000697
le	ef	0.004186
le	ey	0.010670
le	ee	0.008753
le	e7	0.000043
le	e3	0.000797
le	eb	0.005457
le	ek	0.002614
le	e2	0.001163
le	ej	0.000474
le	e0	0.000402
le	eq	0.000309
le	e5	0.000072
le	e8	0.000086
le	e6	0.000072
le	e1	0.000675
le	e9	0.000050
le	e4	0.000136
e.	.c	0.451466
e.	.g	0.051264
e.	.n	0.129425
e.	.m	0.026385
e.	.o	0.021568
e.	.s	0.032713
e.	.a	0.046973
e.	.t	0.018589
e.	.e	0.019748
e.	.l	0.010615
e.	.w	0.030754
e.	.b	0.018739
e.	.p	0.019878
e.	.i	0.028939
e.	.r	0.009133
e.	.f	0.019217
e.	.z	0.003239
